Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2009-01-05,28.757,29.405,28.515,29.286
2009-01-06,29.286,30.005,29.068,29.812
2009-01-07,29.811,30.365,29.529,30.077
2009-01-08,30.077,30.415,29.835,30.186
2009-01-09,30.186,30.413,29.966,30.198
2009-01-12,29.996,30.14,29.488,29.512
2009-01-13,29.508,29.545,28.928,29.007
2009-01-14,29.009,29.343,28.957,29.158
2009-01-15,29.149,29.398,29.051,29.354
2009-01-16,29.354,29.923,29.297,29.474
2009-01-19,29.702,29.778,28.869,28.911
2009-01-20,28.932,29.007,27.87,27.987
2009-01-21,27.995,28.207,27.425,28.203
2009-01-22,28.188,28.188,27.586,27.916
2009-01-23,27.917,27.946,27.276,27.773
2009-01-26,27.563,28.115,27.313,28.045
2009-01-27,28.04,28.463,27.942,28.384
2009-01-28,28.367,28.76,28.308,28.67
2009-01-29,28.655,28.906,28.344,28.836
2009-01-30,28.832,29.419,28.629,29.418
2009-02-02,29.236,29.289,28.443,28.781
2009-02-03,28.778,29.088,28.63,29.017
2009-02-04,29.022,29.421,28.819,29.179
2009-02-05,29.179,29.814,29.057,29.708
2009-02-06,29.693,30.056,29.636,29.934
2009-02-09,29.978,30.254,29.771,30.121
2009-02-10,30.115,30.183,29.237,29.375
2009-02-11,29.371,29.429,28.926,29.049
2009-02-12,29.048,29.105,28.618,28.909
2009-02-13,28.908,29.578,28.851,29.1
2009-02-16,28.851,29.058,28.762,28.988
2009-02-17,28.986,29.185,28.808,29.054
2009-02-18,29.056,29.182,28.809,29.138
2009-02-19,29.138,29.504,29.104,29.192
2009-02-20,29.197,29.412,28.978,29.333
2009-02-23,29.267,29.872,29.211,29.589
2009-02-24,29.598,29.781,29.417,29.641
2009-02-25,29.642,29.798,29.052,29.143
2009-02-26,29.144,29.501,29.074,29.357
2009-02-27,29.364,29.455,28.989,29.384
2009-03-02,29.328,29.377,28.701,28.863
2009-03-03,28.861,29.085,28.788,28.921
2009-03-04,28.919,29.212,28.881,29.192
2009-03-05,29.186,29.329,28.961,29.06
2009-03-06,29.064,29.281,28.845,28.926
2009-03-09,28.982,29.057,28.285,28.325
2009-03-10,28.325,28.46,28.148,28.266
2009-03-11,28.268,28.356,28.083,28.306
2009-03-12,28.305,28.62,28.032,28.534
2009-03-13,28.521,28.822,28.455,28.701
2009-03-16,28.563,29.107,28.562,28.812
2009-03-17,28.813,28.932,28.638,28.761
2009-03-18,28.763,28.843,28.346,28.773
2009-03-19,28.774,29.124,28.583,29.008
2009-03-20,29.006,29.127,28.892,29.053
2009-03-23,29.046,29.411,29.019,29.247
2009-03-24,29.25,29.76,29.25,29.698
2009-03-25,29.697,29.7,29.158,29.263
2009-03-26,29.26,29.461,29.095,29.176
2009-03-27,29.177,29.202,28.861,29.048
2009-03-30,28.929,28.996,28.636,28.952
2009-03-31,28.951,29.166,28.913,29.08
2009-04-01,29.075,29.405,29.004,29.365
2009-04-02,29.367,29.865,29.353,29.82
2009-04-03,29.822,30.077,29.682,30.056
2009-04-06,30.041,30.293,29.803,29.949
2009-04-07,29.947,30.071,29.675,29.993
2009-04-08,29.988,30.012,29.806,29.901
2009-04-09,29.901,30.054,29.763,29.949
2009-04-10,29.962,29.962,29.86,29.926
2009-04-13,29.874,30.145,29.822,30.117
2009-04-14,30.118,30.349,30.097,30.218
2009-04-15,30.219,30.532,30.119,30.479
2009-04-16,30.478,30.604,30.206,30.371
2009-04-17,30.372,30.411,30.139,30.24
2009-04-20,30.227,30.274,29.698,29.734
2009-04-21,29.733,30.068,29.603,30.025
2009-04-22,30.025,30.042,29.44,29.56
2009-04-23,29.561,29.97,29.485,29.929
2009-04-24,29.915,29.938,29.52,29.718
2009-04-27,29.682,29.861,29.452,29.765
2009-04-28,29.762,29.852,29.522,29.659
2009-04-29,29.659,29.953,29.643,29.885
2009-04-30,29.883,30.197,29.858,30.007
2009-05-01,30.01,30.294,29.945,30.279
2009-05-04,30.277,30.402,30.14,30.395
2009-05-05,30.396,30.626,30.317,30.529
2009-05-06,30.528,30.654,30.39,30.616
2009-05-07,30.615,30.809,30.271,30.427
2009-05-08,30.428,30.632,30.321,30.595
2009-05-11,30.591,30.612,30.233,30.353
2009-05-12,30.363,30.716,30.273,30.575
2009-05-13,30.575,30.656,30.238,30.329
2009-05-14,30.328,30.487,30.162,30.453
2009-05-15,30.453,30.599,30.3,30.465
2009-05-18,30.455,30.806,30.37,30.778
2009-05-19,30.783,31.098,30.707,30.988
2009-05-20,30.989,31.454,30.943,31.373
2009-05-21,31.372,31.55,30.932,31.472
2009-05-22,31.473,31.588,31.261,31.575
2009-05-25,31.562,31.576,31.42,31.545
2009-05-26,31.546,31.65,31.361,31.586
2009-05-27,31.585,31.943,31.583,31.775
2009-05-28,31.773,31.835,31.61,31.715
2009-05-29,31.714,32.011,31.66,31.974
2009-06-01,31.979,32.591,31.946,32.551
2009-06-02,32.552,32.694,32.33,32.681
2009-06-03,32.681,32.864,32.15,32.236
2009-06-04,32.237,32.473,31.848,31.941
2009-06-05,31.947,32.135,31.696,31.877
2009-06-08,31.835,32.139,31.594,32.047
2009-06-09,32.048,32.477,31.947,32.405
2009-06-10,32.407,32.702,32.378,32.574
2009-06-11,32.569,32.922,32.553,32.898
2009-06-12,32.896,32.935,32.572,32.739
2009-06-15,32.72,32.791,32.505,32.592
2009-06-16,32.591,32.857,32.387,32.669
2009-06-17,32.668,32.796,32.331,32.537
2009-06-18,32.536,32.679,32.149,32.525
2009-06-19,32.527,32.851,32.462,32.778
2009-06-22,32.788,32.851,32.481,32.525
2009-06-23,32.524,32.548,32.196,32.522
2009-06-24,32.525,32.861,32.461,32.662
2009-06-25,32.663,32.763,32.347,32.561
2009-06-26,32.562,32.774,32.525,32.747
2009-06-29,32.694,32.883,32.624,32.846
2009-06-30,32.845,33.138,32.644,32.698
2009-07-01,32.699,32.785,32.57,32.652
2009-07-02,32.654,32.683,32.402,32.478
2009-07-03,32.481,32.615,32.392,32.45
2009-07-06,32.374,32.422,31.994,32.295
2009-07-07,32.294,32.323,31.993,32.019
2009-07-08,32.018,32.032,31.659,31.811
2009-07-09,31.812,32.315,31.756,32.265
2009-07-10,32.267,32.281,31.937,32.064
2009-07-13,31.995,32.11,31.674,32.11
2009-07-14,32.111,32.357,32.096,32.331
2009-07-15,32.328,32.503,32.28,32.441
2009-07-16,32.44,32.493,32.305,32.43
2009-07-17,32.429,32.429,32.138,32.274
2009-07-20,32.277,32.622,32.253,32.6
2009-07-21,32.6,32.6,32.283,32.38
2009-07-22,32.38,32.458,32.141,32.404
2009-07-23,32.402,32.66,32.356,32.582
2009-07-24,32.584,32.646,32.341,32.42
2009-07-27,32.434,32.589,32.348,32.535
2009-07-28,32.536,32.627,32.371,32.433
2009-07-29,32.434,32.57,32.295,32.452
2009-07-30,32.45,32.789,32.417,32.713
2009-07-31,32.713,32.963,32.635,32.938
2009-08-03,32.948,33.376,32.916,33.295
2009-08-04,33.294,33.428,33.221,33.304
2009-08-05,33.305,33.507,33.239,33.401
2009-08-06,33.403,33.471,33.016,33.041
2009-08-07,33.042,33.172,32.909,33.112
2009-08-10,33.093,33.15,32.63,32.725
2009-08-11,32.713,32.784,32.589,32.64
2009-08-12,32.641,32.763,32.466,32.631
2009-08-13,32.63,32.908,32.595,32.687
2009-08-14,32.688,32.747,32.527,32.651
2009-08-17,32.584,32.608,32.213,32.305
2009-08-18,32.306,32.771,32.284,32.726
2009-08-19,32.722,32.778,32.336,32.56
2009-08-20,32.561,32.706,32.412,32.487
2009-08-21,32.484,32.623,32.313,32.443
2009-08-24,32.426,32.526,32.249,32.295
2009-08-25,32.29,32.313,32.098,32.141
2009-08-26,32.141,32.157,31.84,31.976
2009-08-27,31.974,31.998,31.803,31.928
2009-08-28,31.928,32.134,31.916,31.954
2009-08-31,31.948,31.997,31.781,31.946
2009-09-01,31.944,32.107,31.716,31.759
2009-09-02,31.765,31.958,31.682,31.909
2009-09-03,31.907,32.145,31.856,32.06
2009-09-04,32.061,32.194,32.02,32.176
2009-09-07,32.173,32.246,32.022,32.056
2009-09-08,32.055,32.372,32.011,32.215
2009-09-09,32.212,32.323,32.145,32.23
2009-09-10,32.23,32.472,32.137,32.42
2009-09-11,32.421,32.524,32.365,32.368
2009-09-14,32.391,32.395,32.143,32.188
2009-09-15,32.185,32.368,31.903,32.003
2009-09-16,32.006,32.051,31.886,31.956
2009-09-17,31.957,32.089,31.843,31.871
2009-09-18,31.874,31.89,31.493,31.555
2009-09-21,31.471,31.547,31.385,31.495
2009-09-22,31.489,31.722,31.484,31.658
2009-09-23,31.657,31.855,31.593,31.683
2009-09-24,31.673,31.738,31.11,31.167
2009-09-25,31.166,31.168,30.823,30.858
2009-09-28,30.887,30.887,30.529,30.776
2009-09-29,30.776,31.048,30.707,30.974
2009-09-30,30.973,31.226,30.944,31.025
2009-10-01,31.026,31.126,30.897,30.954
2009-10-02,30.955,30.958,30.704,30.932
2009-10-05,30.873,31.044,30.818,30.858
2009-10-06,30.857,31.006,30.673,30.729
2009-10-07,30.729,30.871,30.619,30.847
2009-10-08,30.842,31.074,30.816,30.979
2009-10-09,30.98,31.002,30.64,30.653
2009-10-12,30.69,30.757,30.473,30.536
2009-10-13,30.534,30.745,30.362,30.709
2009-10-14,30.709,30.879,30.668,30.793
2009-10-15,30.792,31.415,30.784,31.36
2009-10-16,31.352,31.63,31.346,31.575
2009-10-19,31.505,31.659,31.329,31.646
2009-10-20,31.641,31.75,31.499,31.583
2009-10-21,31.581,32.028,31.543,31.946
2009-10-22,31.95,32.05,31.807,32
2009-10-23,31.995,32.171,31.439,31.456
2009-10-26,31.48,31.635,31.345,31.595
2009-10-27,31.595,31.794,31.529,31.706
2009-10-28,31.707,31.88,31.526,31.749
2009-10-29,31.749,32.126,31.654,32.029
2009-10-30,32.03,32.055,31.751,31.81
2009-11-02,31.65,31.756,31.568,31.713
2009-11-03,31.713,31.837,31.492,31.788
2009-11-04,31.787,32.057,31.747,31.972
2009-11-05,31.973,32.098,31.803,32.006
2009-11-06,32.007,32.085,31.901,32.042
2009-11-09,32.093,32.391,32.044,32.237
2009-11-10,32.237,32.279,31.935,32.184
2009-11-11,32.183,32.281,31.82,31.889
2009-11-12,31.884,32.026,31.776,32.011
2009-11-13,32.012,32.18,31.983,32.114
2009-11-16,32.167,32.381,32.055,32.321
2009-11-17,32.323,32.44,32.279,32.375
2009-11-18,32.379,32.415,32.149,32.189
2009-11-19,32.19,32.203,31.978,32.029
2009-11-20,32.029,32.067,31.734,31.78
2009-11-23,31.733,31.957,31.733,31.922
2009-11-24,31.923,31.929,31.706,31.832
2009-11-25,31.833,32.06,31.829,31.885
2009-11-26,31.881,31.942,31.498,31.537
2009-11-27,31.536,31.604,31.209,31.548
2009-11-30,31.599,31.69,31.318,31.438
2009-12-01,31.439,31.777,31.362,31.717
2009-12-02,31.717,31.897,31.637,31.84
2009-12-03,31.842,31.956,31.66,31.669
2009-12-04,31.673,31.97,31.626,31.799
2009-12-07,31.763,31.828,31.523,31.733
2009-12-08,31.73,31.752,31.357,31.406
2009-12-09,31.405,31.566,31.205,31.402
2009-12-10,31.407,31.529,31.28,31.414
2009-12-11,31.415,31.538,31.383,31.486
2009-12-14,31.425,31.56,31.323,31.525
