Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2009-01-05,4.3392,4.4357,4.3226,4.4069
2009-01-06,4.4073,4.4607,4.3194,4.3905
2009-01-07,4.363,4.4724,4.2508,4.4396
2009-01-08,4.433,4.5629,4.433,4.4739
2009-01-09,4.4871,4.5514,4.4679,4.5337
2009-01-12,4.5165,4.6141,4.4733,4.5967
2009-01-13,4.5985,4.6023,4.5066,4.5641
2009-01-14,4.5093,4.6614,4.5091,4.6003
2009-01-15,4.6221,4.7179,4.6221,4.7042
2009-01-16,4.661,4.7988,4.6518,4.7474
2009-01-19,4.7475,4.8049,4.687,4.7381
2009-01-20,4.7247,4.7387,4.6475,4.7097
2009-01-21,4.6711,4.6718,4.58,4.619
2009-01-22,4.5714,4.677,4.5599,4.6676
2009-01-23,4.6448,4.7467,4.6259,4.6681
2009-01-26,4.638,4.7082,4.5743,4.6529
2009-01-27,4.6264,4.7259,4.598,4.7036
2009-01-28,4.7163,4.7434,4.6282,4.6988
2009-01-29,4.6772,4.8413,4.6711,4.8347
2009-01-30,4.8537,5.0265,4.8532,5.016
2009-02-02,5.0106,5.0281,4.8915,4.9526
2009-02-03,4.9449,5.127,4.9399,5.124
2009-02-04,5.0642,5.2628,5.0642,5.2521
2009-02-05,5.2463,5.3303,5.1974,5.2367
2009-02-06,5.2628,5.304,5.1781,5.191
2009-02-09,5.1904,5.2485,5.0341,5.0641
2009-02-10,5.1254,5.1562,4.9977,5.0658
2009-02-11,5.0376,5.111,5.0135,5.0559
2009-02-12,5.0468,5.1976,5.039,5.1476
2009-02-13,5.1273,5.2633,5.1226,5.1732
2009-02-16,5.1588,5.4076,5.1492,5.3943
2009-02-17,5.4689,5.5708,5.4436,5.528
2009-02-18,5.5292,5.5424,5.381,5.4064
2009-02-19,5.3591,5.4021,5.2486,5.3768
2009-02-20,5.41,5.4487,5.3149,5.3427
2009-02-23,5.3068,5.3786,5.1999,5.2725
2009-02-24,5.3267,5.3438,5.2054,5.2128
2009-02-25,5.1849,5.273,5.1552,5.2595
2009-02-26,5.2736,5.2948,5.2229,5.2553
2009-02-27,5.2819,5.3006,5.1904,5.2531
2009-03-02,5.3206,5.3987,5.2841,5.3212
2009-03-03,5.2691,5.3441,5.2442,5.3287
2009-03-04,5.3347,5.3462,5.219,5.2489
2009-03-05,5.2445,5.3463,5.2197,5.3025
2009-03-06,5.3219,5.343,5.2162,5.2465
2009-03-09,5.204,5.2382,5.1366,5.184
2009-03-10,5.1352,5.1657,5.041,5.0472
2009-03-11,5.0317,5.066,4.9201,4.9774
2009-03-12,4.9956,5.0258,4.852,4.8786
2009-03-13,4.8541,4.9208,4.7933,4.8519
2009-03-16,4.8543,4.9198,4.7913,4.8206
2009-03-17,4.8118,4.9153,4.8027,4.874
2009-03-18,4.845,4.8861,4.809,4.8569
2009-03-19,4.7776,4.9202,4.7544,4.9202
2009-03-20,4.8874,4.976,4.8311,4.8804
2009-03-23,4.8701,4.9208,4.832,4.8463
2009-03-24,4.8576,4.9465,4.8268,4.942
2009-03-25,4.9334,4.9925,4.8515,4.8601
2009-03-26,4.8985,4.9171,4.8504,4.8522
2009-03-27,4.8563,5.0361,4.847,4.999
2009-03-30,5.0074,5.115,5.0021,5.1033
2009-03-31,5.0864,5.0946,4.9924,5.0249
2009-04-01,5.0383,5.0902,4.8797,4.8883
2009-04-02,4.916,4.9529,4.8004,4.8055
2009-04-03,4.8153,4.9576,4.811,4.9017
2009-04-06,4.8769,4.9234,4.8454,4.9019
2009-04-07,4.8716,4.9997,4.8706,4.9515
2009-04-08,5.0084,5.0221,4.9022,4.9061
2009-04-09,4.8934,4.926,4.8136,4.82
2009-04-14,4.832,4.9196,4.7539,4.7583
2009-04-15,4.7844,4.8798,4.7598,4.8494
2009-04-16,4.8534,4.9046,4.8203,4.8502
2009-04-17,4.8537,4.8927,4.8043,4.8882
2009-04-20,4.8724,4.9589,4.8605,4.9428
2009-04-21,4.955,5.0029,4.9367,4.9509
2009-04-22,4.9481,4.999,4.8936,4.9184
2009-04-23,4.9229,5.0664,4.8929,5.0435
2009-04-24,5.0035,5.0182,4.9171,4.948
2009-04-27,4.9892,5.1082,4.9824,5.0938
2009-04-28,5.0953,5.1285,4.9855,4.9867
2009-04-29,4.9881,4.9929,4.8582,4.8623
2009-04-30,4.8953,4.9661,4.8514,4.9431
2009-05-04,4.8985,4.9516,4.878,4.8841
2009-05-05,4.8688,4.9364,4.8655,4.9216
2009-05-06,4.9331,4.9911,4.9287,4.9614
2009-05-07,4.9671,4.9973,4.8163,4.8866
2009-05-08,4.8862,4.9048,4.8306,4.8439
2009-05-11,4.8306,4.8936,4.8157,4.8756
2009-05-12,4.9,4.9363,4.877,4.9237
2009-05-13,4.9,4.966,4.879,4.9615
2009-05-14,4.9635,5.0212,4.961,4.9818
2009-05-15,4.9737,5.0408,4.9734,5.0123
2009-05-18,5.0211,5.0819,4.9939,4.9954
2009-05-19,4.9779,5.0014,4.9479,4.9601
2009-05-20,4.9651,4.9831,4.9073,4.9657
2009-05-21,4.9694,5.0224,4.9526,5.0046
2009-05-22,4.9975,5.0095,4.969,5.0033
2009-05-25,4.9846,5.0221,4.9663,4.9989
2009-05-26,5.0088,5.0661,5.0027,5.0255
2009-05-27,5.0387,5.1239,5.0348,5.106
2009-05-28,5.1195,5.1961,5.1113,5.1928
2009-05-29,5.156,5.1744,5.1018,5.1588
2009-06-01,5.1651,5.1678,5.0724,5.153
2009-06-02,5.1581,5.2085,5.1526,5.1819
2009-06-03,5.1886,5.2635,5.161,5.225
2009-06-04,5.1847,5.2408,5.1217,5.1293
2009-06-05,5.1053,5.2245,5.0673,5.1808
2009-06-08,5.1722,5.2436,5.1447,5.2077
2009-06-09,5.2136,5.2377,5.1748,5.1946
2009-06-10,5.1911,5.262,5.1595,5.2278
2009-06-12,5.2453,5.263,5.2156,5.2437
2009-06-15,5.2511,5.3736,5.2511,5.3496
2009-06-16,5.3363,5.3738,5.3303,5.3669
2009-06-17,5.3512,5.3516,5.2849,5.3273
2009-06-18,5.3167,5.337,5.2717,5.3045
2009-06-19,5.3012,5.3579,5.2899,5.3122
2009-06-22,5.3504,5.3844,5.3137,5.3405
2009-06-23,5.3296,5.3604,5.2826,5.3107
2009-06-24,5.3118,5.3485,5.2789,5.3055
2009-06-25,5.3259,5.329,5.2553,5.2735
2009-06-26,5.2437,5.2937,5.242,5.2801
2009-06-29,5.297,5.3059,5.2645,5.27
2009-06-30,5.286,5.3003,5.2089,5.2223
2009-07-01,5.1945,5.205,5.0685,5.0786
2009-07-02,5.0785,5.1215,5.0469,5.1158
2009-07-03,5.1192,5.1232,5.0642,5.0757
2009-07-06,5.0717,5.1106,5.0582,5.0957
2009-07-07,5.0657,5.099,5.0425,5.0773
2009-07-08,5.0944,5.131,5.0924,5.1275
2009-07-09,5.0917,5.092,5.0225,5.0509
2009-07-10,5.0843,5.1213,5.057,5.0724
2009-07-13,5.0602,5.0955,5.0552,5.0757
2009-07-14,5.072,5.103,5.0259,5.0324
2009-07-15,4.9979,5.0169,4.9725,4.9839
2009-07-16,4.9781,5.04,4.9598,5.0233
2009-07-17,5.0038,5.0212,4.9854,5.0007
2009-07-20,5.0038,5.011,4.9471,4.955
2009-07-21,4.9191,4.9494,4.8985,4.948
2009-07-22,4.9211,4.9406,4.9004,4.9216
2009-07-23,4.913,4.9345,4.8806,4.8994
2009-07-24,4.9304,4.9324,4.8238,4.844
